sample_id,prompt,target,curriculum_score,pcrf_weight,criticality_weight,combined_weight,sampling_bucket
79,Complete with one word only: The reserved programming keyword used to initiate routine blocks in Python is,def,0.026501,0.092411,5.0,0.012245,HIGH_PRIORITY
78,Complete with one word only: The reserved programming keyword used to declare structural blueprints in Python is,class,0.026301,0.092411,5.0,0.012152,HIGH_PRIORITY
66,Complete with one word only: The digital counting framework representing information with 0 and 1 is,Binary,0.026176,0.092411,5.0,0.012095,HIGH_PRIORITY
56,Complete with one word only: A liquid solution with a pH rating significantly higher than 7 is a,Base,0.025375,0.092411,1.0,0.002345,HIGH_PRIORITY
74,Complete with one word only: The relational database directive used to fetch selected tuples from table arrays is,SELECT,0.024714,0.092411,5.0,0.011419,HIGH_PRIORITY
63,"Complete with one word only: To store keyed associative records with rapid O(1) lookup, developers choose a",Map,0.024337,0.092411,1.0,0.002249,HIGH_PRIORITY
43,Complete with one word only: The element with atomic number 6 is,Carbon,0.024139,0.092411,1.0,0.002231,HIGH_PRIORITY
67,Complete with one word only: The primary volatile memory utilized for rapid workspace computation is,RAM,0.022184,0.092411,5.0,0.010250,HIGH_PRIORITY
71,Complete with one word only: The network transmission protocol used to serve encrypted web content is,HTTPS,0.021368,0.092411,1.0,0.001975,HIGH_PRIORITY
60,Complete with one word only: Light waves travel significantly faster than mechanical propagation of,Sound,0.021204,0.092411,1.0,0.001959,HIGH_PRIORITY
77,"Complete with one word only: In balanced search trees, a terminal node lacking downstream progeny is a",Leaf,0.021202,0.092411,1.0,0.001959,HIGH_PRIORITY
53,Complete with one word only: The physical force driving planetary orbits is,Gravity,0.020899,0.092411,1.0,0.001931,HIGH_PRIORITY
76,Complete with one word only: The fundamental internet routing system standardizing packet layout is the,IP,0.020713,0.092411,5.0,0.009571,HIGH_PRIORITY
75,Complete with one word only: An auxiliary database lookup catalog built to accelerate query evaluation is an,Index,0.019608,0.092411,1.0,0.001812,HIGH_PRIORITY
59,Complete with one word only: The core organ driving blood circulation in mammalian systems is the,Heart,0.019507,0.092411,3.0,0.005408,HIGH_PRIORITY
70,"Complete with one word only: In class structures, an operational memory instantiation is called an",Object,0.018754,0.092411,5.0,0.008665,HIGH_PRIORITY
68,Complete with one word only: The foundational processing unit executing computing instructions is the,CPU,0.017654,0.092411,5.0,0.008157,HIGH_PRIORITY
58,Complete with one word only: The atmospheric gas primarily responsible for global warming is,Carbon,0.017600,0.092411,1.0,0.001626,HIGH_PRIORITY
57,Complete with one word only: The basic physical container of all organic life is the,Cell,0.017331,0.092411,1.0,0.001602,HIGH_PRIORITY
37,Complete with one word only: The official capital city of Switzerland is,Bern,0.016840,0.092411,5.0,0.007781,HIGH_PRIORITY
61,"Complete with one word only: In operating systems, a scheduled execution thread resides within a",Process,0.016305,0.092411,5.0,0.007534,MID_PRIORITY
72,Complete with one word only: A software routine that invokes itself to solve smaller sub-problems is,Recursion,0.015849,0.092411,1.0,0.001465,MID_PRIORITY
15,Complete with one word only: The official capital city of Mexico is,Mexico,0.015490,0.092411,1.0,0.001431,MID_PRIORITY
1,Complete with one word only: The official capital city of France is,Paris,0.014815,0.092411,1.0,0.001369,MID_PRIORITY
12,Complete with one word only: The official capital city of England is,London,0.014326,0.092411,4.0,0.005295,MID_PRIORITY
62,"Complete with one word only: In deep learning, structural parameters are mathematically adjusted via",Descent,0.014115,0.092411,1.0,0.001304,MID_PRIORITY
69,Complete with one word only: The technical engineering pipeline of locating and isolating software bugs is,Debugging,0.013345,0.092411,1.0,0.001233,MID_PRIORITY
2,Complete with one word only: The official capital city of Germany is,Berlin,0.012993,0.092411,1.0,0.001201,MID_PRIORITY
42,Complete with one word only: The element with atomic number 2 is,Helium,0.012252,0.092411,1.0,0.001132,MID_PRIORITY
73,Complete with one word only: The version control directive committing index state to local repository history is git,commit,0.012126,0.092411,1.0,0.001121,MID_PRIORITY
48,Complete with one word only: The planet with the highest surface temperature is,Venus,0.011734,0.092411,1.0,0.001084,MID_PRIORITY
44,Complete with one word only: The element with atomic number 7 is,Nitrogen,0.011527,0.092411,1.0,0.001065,MID_PRIORITY
49,Complete with one word only: The planet historically referred to as the red planet is,Mars,0.011510,0.092411,1.0,0.001064,MID_PRIORITY
45,Complete with one word only: The element with atomic number 8 is,Oxygen,0.011313,0.092411,3.0,0.003136,MID_PRIORITY
3,Complete with one word only: The official capital city of Italy is,Rome,0.011052,0.092411,1.0,0.001021,MID_PRIORITY
52,Complete with one word only: The standard electrical metric measuring opposition to current is,Ohm,0.010984,0.092411,1.0,0.001015,MID_PRIORITY
47,Complete with one word only: The planet sitting closest to our solar system's sun is,Mercury,0.010979,0.092411,1.0,0.001015,MID_PRIORITY
55,Complete with one word only: A liquid solution with a pH rating significantly lower than 7 is an,Acid,0.010928,0.092411,1.0,0.001010,MID_PRIORITY
17,Complete with one word only: The official capital city of Australia is,Canberra,0.010919,0.092411,1.0,0.001009,MID_PRIORITY
30,Complete with one word only: The official capital city of Kenya is,Nairobi,0.010797,0.092411,1.0,0.000998,MID_PRIORITY
50,Complete with one word only: The largest gas giant orbiting inside our solar system is,Jupiter,0.010704,0.092411,1.0,0.000989,MID_PRIORITY
7,Complete with one word only: The official capital city of Egypt is,Cairo,0.010429,0.092411,1.0,0.000964,MID_PRIORITY
28,Complete with one word only: The official capital city of Finland is,Helsinki,0.010363,0.092411,1.0,0.000958,MID_PRIORITY
38,Complete with one word only: The official capital city of Denmark is,Copenhagen,0.010317,0.092411,1.0,0.000953,MID_PRIORITY
51,Complete with one word only: Photosynthesis in organic plant structures generates glucose and,Oxygen,0.009999,0.092411,3.0,0.002772,MID_PRIORITY
33,Complete with one word only: The official capital city of New Zealand is,Wellington,0.009609,0.092411,1.0,0.000888,MID_PRIORITY
22,Complete with one word only: The official capital city of Peru is,Lima,0.009131,0.092411,1.0,0.000844,MID_PRIORITY
39,Complete with one word only: The official capital city of Norway is,Oslo,0.008791,0.092411,1.0,0.000812,MID_PRIORITY
23,Complete with one word only: The official capital city of Chile is,Santiago,0.008559,0.092411,1.0,0.000791,MID_PRIORITY
54,Complete with one word only: The chemical compound representing standard table salt is,NaCl,0.008505,0.092411,1.0,0.000786,MID_PRIORITY
31,Complete with one word only: The official capital city of Nigeria is,Abuja,0.008481,0.092411,1.0,0.000784,MID_PRIORITY
25,Complete with one word only: The official capital city of Belgium is,Brussels,0.008325,0.092411,1.0,0.000769,MID_PRIORITY
26,Complete with one word only: The official capital city of Austria is,Vienna,0.008309,0.092411,1.0,0.000768,MID_PRIORITY
